Object kind,Source reference,Company,Location,Meter,Point,Unit,Interval minutes,Measure Type,Reading Type,Archive Interval,Index,How Created,Meter Number,Provider Meter Number,Multiplier,Utility Provider,Bill Cycle,Billing Account,Installed point ID,Installed meter ID,Installed gateway ID,Installed node ID,Status,Evidence
Meter,cedar_row_a_unit_114_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 114 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A114,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_114_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 114 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_115_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 115 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A115,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_115_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 115 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_116_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 116 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A116,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_116_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 116 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_117_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 117 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A117,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_117_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 117 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_118_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 118 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A118,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_118_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 118 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_119_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 119 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A119,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_119_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 119 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_120_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 120 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A120,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_120_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 120 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_201_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 201 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A201,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_201_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 201 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_202_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 202 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A202,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_202_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 202 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_203_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 203 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A203,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_203_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 203 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_204_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 204 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A204,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_204_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 204 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_205_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 205 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A205,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_205_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 205 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_206_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 206 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A206,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_206_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 206 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_207_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 207 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A207,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_207_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 207 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_208_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 208 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A208,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_208_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 208 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_209_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 209 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A209,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_209_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 209 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_210_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 210 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A210,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_210_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 210 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_211_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 211 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A211,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_211_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 211 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_212_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 212 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A212,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_212_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 212 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_213_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 213 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A213,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_213_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 213 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_214_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 214 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A214,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_214_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 214 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_215_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 215 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A215,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_215_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 215 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_216_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 216 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A216,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_216_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 216 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_217_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 217 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A217,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_217_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 217 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_218_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 218 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A218,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_218_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 218 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_219_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 219 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A219,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_219_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 219 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_220_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 220 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A220,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_220_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 220 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_301_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 301 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A301,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_301_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 301 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_302_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 302 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A302,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_302_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 302 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_303_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 303 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A303,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_303_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 303 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_304_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 304 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A304,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_304_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 304 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_305_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 305 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A305,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_305_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 305 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_306_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 306 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A306,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_306_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 306 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_307_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 307 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A307,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_307_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 307 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_308_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 308 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A308,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_308_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 308 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_309_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 309 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A309,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_309_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 309 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_310_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 310 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A310,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_310_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 310 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_311_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 311 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A311,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_311_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 311 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_312_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 312 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A312,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_312_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 312 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_313_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 313 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A313,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_313_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 313 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_314_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 314 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A314,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_314_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 314 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_315_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 315 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A315,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_315_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 315 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_316_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 316 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A316,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_316_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 316 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_317_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 317 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A317,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_317_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 317 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_318_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 318 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A318,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_318_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 318 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_319_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 319 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A319,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_319_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 319 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_320_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 320 Electric,,,,Electric,,,,Enter,SYN-SUB-E-A320,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_320_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 320 Electric,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_house_electric,Cedar Row Apartments,Cedar Row A,Cedar Row A Electric House,,,,Electric,,,,Enter,SYN-SUB-E-AH,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_house_kwh_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Electric House,Submeter kWh 60m,kWh,60,Electric,Analog,60,,Enter,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_101_water,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 101 Water,,,,Water,,,,Enter,SYN-SUB-W-A101,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_101_water_register,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 101 Water,Register Reading,Reading,43200,Water,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_101_water_kgal_route,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 101 Water,Route Usage kgal,kgal,43200,Water,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_102_water,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 102 Water,,,,Water,,,,Enter,SYN-SUB-W-A102,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_102_water_register,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 102 Water,Register Reading,Reading,43200,Water,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_102_water_kgal_route,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 102 Water,Route Usage kgal,kgal,43200,Water,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_103_water,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 103 Water,,,,Water,,,,Enter,SYN-SUB-W-A103,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_103_water_register,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 103 Water,Register Reading,Reading,43200,Water,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_103_water_kgal_route,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 103 Water,Route Usage kgal,kgal,43200,Water,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_104_water,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 104 Water,,,,Water,,,,Enter,SYN-SUB-W-A104,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_104_water_register,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 104 Water,Register Reading,Reading,43200,Water,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_104_water_kgal_route,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 104 Water,Route Usage kgal,kgal,43200,Water,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_105_water,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 105 Water,,,,Water,,,,Enter,SYN-SUB-W-A105,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_105_water_register,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 105 Water,Register Reading,Reading,43200,Water,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_105_water_kgal_route,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 105 Water,Route Usage kgal,kgal,43200,Water,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_106_water,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 106 Water,,,,Water,,,,Enter,SYN-SUB-W-A106,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_106_water_register,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 106 Water,Register Reading,Reading,43200,Water,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_106_water_kgal_route,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 106 Water,Route Usage kgal,kgal,43200,Water,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_107_water,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 107 Water,,,,Water,,,,Enter,SYN-SUB-W-A107,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_107_water_register,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 107 Water,Register Reading,Reading,43200,Water,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_107_water_kgal_route,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 107 Water,Route Usage kgal,kgal,43200,Water,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_108_water,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 108 Water,,,,Water,,,,Enter,SYN-SUB-W-A108,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_108_water_register,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 108 Water,Register Reading,Reading,43200,Water,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_108_water_kgal_route,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 108 Water,Route Usage kgal,kgal,43200,Water,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_109_water,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 109 Water,,,,Water,,,,Enter,SYN-SUB-W-A109,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_109_water_register,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 109 Water,Register Reading,Reading,43200,Water,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_109_water_kgal_route,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 109 Water,Route Usage kgal,kgal,43200,Water,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_110_water,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 110 Water,,,,Water,,,,Enter,SYN-SUB-W-A110,,,Northlake owned,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_110_water_register,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 110 Water,Register Reading,Reading,43200,Water,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_cedar_row_a_unit_110_water_kgal_route,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 110 Water,Route Usage kgal,kgal,43200,Water,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,cedar_row_a_unit_111_water,Cedar Row Apartments,Cedar Row A,Cedar Row A Unit 111 Water,,,,Water,,,,Enter,SYN-SUB-W-A111,,,Northlake owned,,,,,,,Not entered,
